product_id,product_name,category,unit_price,unit_cost
P001,Wireless Mouse,Accessories,25.0,11.0
P002,Mechanical Keyboard,Accessories,85.0,48.0
P003,USB-C Hub,Accessories,45.0,22.0
P004,Laptop Stand ,Accessories,38.0,18.0
P005,Webcam,Peripherals,70.0,35.0
P006,27-inch Monitor,Displays,260.0,175.0
P007,24-inch Monitor,Displays,180.0,118.0
P008,External SSD 1TB,Storage,110.0,72.0
P009,USB Flash Drive 128GB,Storage,22.0,9.0
P010,Bluetooth Speaker,Audio,65.0,31.0
P011,Noise Cancelling Headphones,audio,145.0,88.0
P012,Gaming Headset,Audio,78.0,42.0
P013,Power Bank 20000mAh,Mobile,55.0,27.0
P014,Wireless Charger,Mobile,32.0,14.0
P015,Phone Stand,Mobile,18.0,6.0
P016,Smartwatch,Wearables,190.0,120.0
P017,Fitness Tracker,Wearables,75.0,39.0
P018,Portable Projector,Displays,320.0,215.0
P019,Ethernet Adapter,Accessories,28.0,12.0
P020,Desk Lamp,Office,42.0,20.0
